iter	RMSE
0	0.9915528374
1	0.9857945907
2	0.9790606573
3	0.9716372992
4	0.9656211857
5	0.9604356724
6	0.9557247358
7	0.9508297247
8	0.94795959
9	0.9448195644
10	0.9415619924
11	0.9392539619
12	0.9366657416
13	0.9333802304
14	0.9317270377
15	0.9286057442
16	0.9266423038
17	0.9240860453
18	0.9228255955
19	0.9214212182
20	0.9211325547
21	0.9201749158
22	0.918159399
23	0.9157230959
24	0.9134838114
25	0.9121666294
26	0.910634991
27	0.9085579944
28	0.9060601075
29	0.9045457323
30	0.9032369179
31	0.9028289723
32	0.9007145726
33	0.8991853539
34	0.8969428959
35	0.8958849358
36	0.8945022818
37	0.8930893388
38	0.8907559979
39	0.8896450432
40	0.8880195817
41	0.8868376254
42	0.8855174816
43	0.8845567265
44	0.8835717572
45	0.8829066351
46	0.8818506915
47	0.8805633114
48	0.8789289725
49	0.8772257934
50	0.8758304285
51	0.8746260418
52	0.8730700184
53	0.8715692849
54	0.8704763414
55	0.869602805
56	0.8683730395
57	0.8671225988
58	0.8656677243
59	0.8647107312
60	0.863248386
61	0.8617152305
62	0.8609189208
63	0.8599400103
64	0.8592459899
65	0.8583674649
66	0.8568943565
67	0.8550406395
68	0.8538712933
69	0.8520957026
70	0.850653728
71	0.8496657809
72	0.8479289858
73	0.846851349
74	0.8456953949
75	0.8453053334
76	0.8439171649
77	0.8427191053
78	0.8407488977
79	0.8397386317
80	0.8393126408
81	0.8386661042
82	0.836627648
83	0.83524225
84	0.8333878151
85	0.8321230799
86	0.8307832514
87	0.8291326166
88	0.828475455
89	0.8273139958
90	0.8263253547
91	0.8253880889
92	0.8242628027
93	0.8230751409
94	0.8222460706
95	0.8202992067
96	0.8179759913
97	0.8160911453
98	0.8149782756
99	0.8136975614
100	0.8119351482
101	0.8105340281
102	0.8091522389
103	0.8076957292
104	0.8063137046
105	0.8055710265
106	0.804779089
107	0.8042598687
108	0.8027492787
109	0.8009445201
110	0.7993430939
111	0.7983419686
112	0.7974876014
113	0.796941778
114	0.7955525322
115	0.7951337505
116	0.7945888055
117	0.7933516383
118	0.7913790507
119	0.7905649009
120	0.7892584987
121	0.7876830339
122	0.7861797078
123	0.7849547942
124	0.7840965551
125	0.7837758446
126	0.7827084706
127	0.7822107163
128	0.780822912
129	0.7793980285
130	0.7780315373
131	0.7774778029
132	0.7770299417
133	0.7749053436
134	0.773895094
135	0.7730995508
136	0.7725224011
137	0.7710905865
138	0.7703231448
139	0.7692045981
140	0.7685393587
141	0.7683636142
142	0.7682758807
143	0.7679730645
144	0.7670969425
145	0.7667751721
146	0.7656241376
147	0.7653094268
148	0.7639329444
149	0.7632040686
150	0.7630106024
151	0.7622414277
152	0.7610504385
153	0.7602488807
154	0.7600584018
155	0.7591262639
156	0.7581719984
157	0.7576177684
158	0.7565303545
159	0.755031992
160	0.7546119697
161	0.7541064343
162	0.7534808573
163	0.7528115057
164	0.7511856553
165	0.7497341756
166	0.7489932239
167	0.7488735434
168	0.7482156543
169	0.7475225459
170	0.7469771504
171	0.7457630953
172	0.7453321261
173	0.7446115616
174	0.7433514965
175	0.7427679516
176	0.7421214259
177	0.7420091089
178	0.7415825748
179	0.7404850823
180	0.7395568629
181	0.7392326281
182	0.7389774874
183	0.7382531453
184	0.7377570683
185	0.7373757689
186	0.7371227573
187	0.736370063
188	0.7353291195
189	0.7350124992
190	0.7345072127
191	0.7340792778
192	0.7332788651
193	0.7331212192
194	0.7327796574
195	0.7313083627
196	0.7308970957
197	0.7294647748
198	0.7285403859
199	0.7282075473
