iter	Passed	Remaining
0	55	11059
1	56	5547
2	56	3698
3	56	2772
4	56	2217
5	57	1846
6	57	1581
7	57	1382
8	57	1229
9	58	1105
10	58	1003
11	61	955
12	61	881
13	64	859
14	64	800
15	66	759
16	66	715
17	66	674
18	66	637
19	67	604
20	67	573
21	67	546
22	67	521
23	67	498
24	68	477
25	68	457
26	68	440
27	68	423
28	69	408
29	69	393
30	69	379
31	69	366
32	70	354
33	70	343
34	70	333
35	70	322
36	71	313
37	71	304
38	71	295
39	71	287
40	72	279
41	72	271
42	72	264
43	72	257
44	72	250
45	73	244
46	73	238
47	73	232
48	73	227
49	73	221
50	74	216
51	74	211
52	74	206
53	74	202
54	74	197
55	75	193
56	75	189
57	75	185
58	75	181
59	76	177
60	76	173
61	76	170
62	76	167
63	77	164
64	77	161
65	77	158
66	78	154
67	78	151
68	78	148
69	78	146
70	78	143
71	79	140
72	79	138
73	79	135
74	79	132
75	79	130
76	80	128
77	80	125
78	80	123
79	80	121
80	80	118
81	81	116
82	81	114
83	81	112
84	81	110
85	81	108
86	82	106
87	82	104
88	82	103
89	82	101
90	83	99
91	83	97
92	83	96
93	83	94
94	83	92
95	84	91
96	84	89
97	84	88
98	84	86
99	85	85
100	85	83
101	85	82
102	85	80
103	85	79
104	86	77
105	86	76
106	86	75
107	86	73
108	86	72
109	87	71
110	87	69
111	87	68
112	87	67
113	87	66
114	87	65
115	88	63
116	88	62
117	88	61
118	88	60
119	89	59
120	89	58
121	89	57
122	89	56
123	89	55
124	90	54
125	90	52
126	90	51
127	90	50
128	90	50
129	91	49
130	91	48
131	91	47
132	91	46
133	92	45
134	92	44
135	92	43
136	92	42
137	92	41
138	93	40
139	93	39
140	93	39
141	93	38
142	93	37
143	93	36
144	94	35
145	94	34
146	94	34
147	94	33
148	95	32
149	95	31
150	95	30
151	95	30
152	95	29
153	96	28
154	96	27
155	96	27
156	96	26
157	96	25
158	97	25
159	97	24
160	97	23
161	97	22
162	97	22
163	98	21
164	98	20
165	98	20
166	98	19
167	98	18
168	99	18
169	99	17
170	99	16
171	99	16
172	99	15
173	100	14
174	100	14
175	100	13
176	100	13
177	100	12
178	101	11
179	101	11
180	101	10
181	101	10
182	101	9
183	102	8
184	102	8
185	102	7
186	102	7
187	102	6
188	103	5
189	103	5
190	103	4
191	103	4
192	103	3
193	104	3
194	104	2
195	104	2
196	104	1
197	104	1
198	105	0
199	105	0
